,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
360,koungou,34.37,73.4711,30.28,31,89,1.81,PK,1619762140
361,havelock,38.4953,102.1739,24.03,13,1,6.61,CN,1619762141
362,ust-kuyga,26.25,105.9333,23.99,49,75,4.59,CN,1619762141
363,phan rang,30.6945,78.4932,27,20,13,3.62,IN,1619762141
364,ambon,-8.103,156.8419,28.15,71,59,1.15,SB,1619762142
365,antofagasta,-43.249,-65.3051,17.08,38,93,3.1,AR,1619762142
366,buala,34.7371,-82.2543,22,83,90,5.14,US,1619762086
367,lolua,-20.7333,139.5,29,26,40,6.17,AU,1619762143
368,ribeira grande,41.0866,31.1162,17.37,77,100,0.46,TR,1619762143
369,tabas,-25.2406,130.9889,27,16,28,2.06,AU,1619762144
370,grenfell,-26.6481,15.1594,12.71,71,0,7.71,NA,1619762145
371,tura,54.3161,-130.3201,8,100,90,2.57,CA,1619762145
